"item" "roi" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "PB" "IC" "SC"
"86" 5 14 3 "फिल्म" 1.5 107 135 3 3 5 12 1 1
"87" 5 15 4 "मिस्टर" 1.5 9 9 1 1 6 12 0 1
"88" 5 16 3 "प्राइम" 1 1 1 1 1 6 12 0 1
"89" 5 17 5 "मिनिस्टर" 2.5 2 2 1 1 8 12 0 1
"90" 5 18 1 "को" 0 8766 25348 1 1 2 12 0 1
"91" 5 19 2 "नहीं" 0.5 2830 NA 36 NA 4 19 0 1
"92" 5 20 3 "दिखाने" 1.5 14 140 NA NA 6 19 11 1
"93" 5 21 1 "का" 0 5500 25348 2 8 2 19 0 2
"94" 5 22 3 "फैसला" 0.5 247 425 113 194 5 23 1 1
"95" 5 23 2 "किया" 1 1984 9800 84 114 4 23 15 0
"96" 5 24 1 "है" 0.5 10733 14482 380 1003 2 23 0 0
"97" 5 25 1 "।" 0 19415 18846 6561 8730 1 23 0 0
"98" 6 1 5 "दरअसल" 0 37 37 NA NA 5 1 0 1
"99" 6 2 2 "वह" 0 835 6262 1 2 2 2 0 1
"100" 6 3 2 "इस" 0 3071 8126 25 296 2 3 0 2
"101" 6 4 3 "फिल्म" 1.5 107 135 11 20 5 3 0 1
"102" 6 5 1 "को" 0 8766 25348 6 25 2 3 0 1
"103" 6 6 3 "सबसे" 0.5 228 224 8 80 4 6 0 1
"104" 6 7 3 "पहले" 0.5 700 587 24 23 4 6 0 1
"105" 6 8 5 "प्रधानमंत्री" 2.5 569 571 8 7 12 8 0 1
"106" 6 9 5 "मनमोहन" 0 244 245 152 152 6 8 0 1
"107" 6 10 2 "सिंह" 1.5 1009 1007 217 216 4 8 0 1
"108" 6 11 1 "को" 0 8766 25348 72 136 2 8 0 1
"109" 6 12 3 "दिखाना" 1 5 140 1 NA 6 12 12 1
"110" 6 13 3 "चाहते" 0.5 141 343 2 2 5 13 21 0
"111" 6 14 1 "हैं" 1 3449 14482 95 214 3 13 0 0
"112" 6 15 1 "।" 0 19415 18846 2296 8730 1 13 0 0
"113" 7 1 4 "देवानंद" 1 3 2 NA NA 7 1 0 1
"114" 7 2 1 "ने" 0.5 6947 12697 3 NA 2 1 0 1
"115" 7 3 2 "कल" 0 60 60 2 6 2 3 0 1
"116" 7 4 2 "एक" 0 2107 2116 1 1 2 4 0 2
"117" 7 5 2 "टीवी" 0 34 34 5 5 4 4 0 1
"118" 7 6 3 "चैनल" 0.5 20 40 6 13 4 4 1 1
"119" 7 7 1 "से" 0.5 7203 25348 4 4 2 4 0 1
"120" 7 8 4 "बातचीत" 0 289 548 111 92 6 8 1 1
"121" 7 9 1 "के" 0.5 18820 25348 43 189 2 8 0 2
"122" 7 10 3 "दौरान" 0 485 486 412 2 5 8 0 1
"123" 7 11 3 "बताया" 0 816 1026 2 2 5 11 16 0
"124" 7 12 1 "कि" 1 6478 25348 655 9 2 12 0 1
"125" 7 13 2 "वह" 0 835 6262 253 71 2 13 0 1
"126" 7 14 2 "कई" 0 447 449 2 10 2 14 0 2
"127" 7 15 3 "वजहों" 0.5 1 184 NA NA 5 14 0 1
"128" 7 16 1 "से" 0.5 7203 25348 1 NA 2 14 0 1
"129" 7 17 3 "अपनी" 0 539 1621 21 46 4 17 0 2
"130" 7 18 2 "नई" 0 181 365 6 6 2 17 0 2
"131" 7 19 3 "फिल्म" 1.5 107 135 3 3 5 17 1 1
"132" 7 20 1 "को" 0 8766 25348 6 25 2 17 0 1
"133" 7 21 2 "इस" 0 3071 8126 144 325 2 21 0 2
"134" 7 22 5 "फ़ेसटीवल" 1 NA NA NA NA 8 12 0 1
"135" 7 23 1 "में" 1 12692 25348 NA NA 3 21 0 1
"136" 7 24 3 "शामिल" 1 404 403 178 4 5 25 0 1
"137" 7 25 2 "नहीं" 0.5 2830 NA 24 NA 4 25 0 1
"138" 7 26 3 "करना" 0 369 9800 19 NA 4 25 10 0
"139" 7 27 3 "चाहते" 0.5 141 343 24 63 5 27 24 0
"140" 7 28 1 "।" 0 19415 18846 11 39 1 27 0 0
"141" 8 1 2 "वह" 0 835 6262 NA NA 2 1 0 1
"142" 8 2 3 "पहले" 0.5 700 587 4 18 4 2 0 1
"143" 8 3 3 "अपने" 0.5 826 1621 6 6 4 3 0 2
"144" 8 4 5 "प्रधानमंत्री" 2.5 569 571 1 1 12 3 0 1
"145" 8 5 1 "को" 0 8766 25348 28 45 2 3 0 1
"146" 8 6 2 "यह" 0 1750 8126 88 325 2 6 0 1
"147" 8 7 3 "फिल्म" 1.5 107 135 9 20 5 6 0 1
"148" 8 8 3 "दिखाना" 1 5 140 1 3 6 8 8 1
"149" 8 9 3 "चाहते" 0.5 141 343 2 2 5 9 7 0
"150" 8 10 1 "हैं" 1 3449 14482 95 214 3 9 0 0
"151" 8 11 1 "।" 0 19415 18846 2296 8730 1 9 0 0
"152" 9 1 4 "देवानंद" 1 3 2 NA NA 7 1 0 1
"153" 9 2 1 "ने" 0.5 6947 12697 3 NA 2 1 0 1
"154" 9 3 3 "बताया" 0 816 1026 405 29 5 3 1 0
"155" 9 4 1 "कि" 1 6478 25348 655 9 2 4 0 1
"156" 9 5 3 "उनकी" 0 400 6262 39 71 4 5 0 2
"157" 9 6 2 "यह" 0 1750 8126 3 296 2 5 0 2
"158" 9 7 3 "फिल्म" 1.5 107 135 9 20 5 5 1 1
"159" 9 8 2 "30" 0 21 21 NA NA 2 8 0 1
"160" 9 9 4 "नवंबर" 0.5 63 64 NA NA 5 8 0 1
"161" 9 10 1 "को" 0 8766 25348 31 2 2 8 0 1
"162" 9 11 3 "रिलीज" 1 2 3 1 NA 5 12 0 1
"163" 9 12 2 "होगी" 0 232 5915 1 3 4 12 6 0
"164" 9 13 1 "।" 0 19415 18846 159 886 1 12 0 0
"165" 10 1 2 "बात" 0 616 672 NA NA 3 1 0 1
"166" 10 2 3 "गलत" 0 72 72 1 1 3 2 0 1
"167" 10 3 1 "हो" 0 1646 14482 1 13 2 3 1 0
"168" 10 4 1 "तो" 0 1349 1349 20 214 2 4 0 1
"169" 10 5 3 "गुस्सा" 1 9 19 1 2 6 5 0 1
"170" 10 6 4 "मशहूर" 0.5 17 17 NA NA 5 6 0 1
"171" 10 7 2 "लोगों" 0.5 767 1172 NA NA 5 6 0 1
"172" 10 8 1 "को" 0 8766 25348 229 246 2 6 0 1
"173" 10 9 1 "भी" 0 3079 3081 234 189 2 6 0 1
"174" 10 10 2 "आना" 0 26 1109 1 10 3 10 5 1
"175" 10 11 3 "लाजमी" 0 3 3 1 1 5 11 0 1
"176" 10 12 1 "है" 0.5 10733 14482 2 2 2 12 13 0
"177" 10 13 1 "।" 0 19415 18846 6561 8730 1 12 0 0
"178" 11 1 2 "कल" 0 60 60 NA NA 2 1 0 1
"179" 11 2 1 "ज़ी" 0 NA NA NA NA 2 2 0 1
"180" 11 3 1 "में" 1 12692 25348 NA NA 3 2 0 1
